HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385142,06/02/2004 00:00:00,03/01/2006 00:00:00,1250,Brett,2004-05-28 00:00:00.000000
385142,03/02/2006 00:00:00,12/31/2999 00:00:00,1563,Admin,2006-03-24 00:00:00.000000
385143,11/16/1993 00:00:00,09/01/2003 00:00:00,38,,
385143,09/02/2003 00:00:00,12/31/2999 00:00:00,1135,carolyn,2003-08-27 00:00:00.000000
385144,11/04/1993 00:00:00,12/31/2999 00:00:00,39,,
385145,12/07/1993 00:00:00,12/31/2999 00:00:00,40,,
385147,11/04/1993 00:00:00,12/31/2999 00:00:00,41,,
385148,11/03/1993 00:00:00,09/30/2008 00:00:00,42,,
385148,10/01/2008 00:00:00,12/31/2999 00:00:00,1879,Admin,2008-09-30 00:00:00.000000
385149,11/12/1993 00:00:00,08/14/2002 00:00:00,43,,
385149,08/15/2002 00:00:00,12/31/2999 00:00:00,953,carolyn,2002-08-14 00:00:00.000000
385150,11/24/1993 00:00:00,12/31/2999 00:00:00,44,,
385151,11/22/1993 00:00:00,12/31/2999 00:00:00,45,,
385152,11/24/1993 00:00:00,12/31/2999 00:00:00,46,,
385155,12/15/1993 00:00:00,12/31/2999 00:00:00,23,,
385156,02/02/1994 00:00:00,12/31/2999 00:00:00,47,,
385157,12/15/1993 00:00:00,12/31/2999 00:00:00,27,,
385159,12/08/1993 00:00:00,02/20/2003 00:00:00,48,,
385161,09/01/1993 00:00:00,05/31/1997 00:00:00,49,,
385161,06/01/1997 00:00:00,12/31/2999 00:00:00,50,,
385162,11/24/1993 00:00:00,10/31/1996 00:00:00,52,,
385162,11/01/1996 00:00:00,05/01/2007 00:00:00,51,,
385162,05/02/2007 00:00:00,12/31/2999 00:00:00,1734,Admin,2007-06-11 00:00:00.000000
385164,11/04/1993 00:00:00,04/30/2010 00:00:00,53,,
385164,05/01/2010 00:00:00,12/31/2999 00:00:00,2088,Admin,2010-05-10 00:00:00.000000
385165,11/16/1993 00:00:00,12/31/2999 00:00:00,41,,
385166,12/13/1993 00:00:00,12/31/2010 00:00:00,54,,
385166,01/01/2011 00:00:00,12/31/2999 00:00:00,2171,Admin,2010-12-27 00:00:00.000000
385167,11/22/1993 00:00:00,12/31/2999 00:00:00,55,,
385168,11/23/1993 00:00:00,06/30/1998 00:00:00,29,,
385168,07/01/1998 00:00:00,02/01/2000 00:00:00,416,carolyn,2000-03-21 00:00:00.000000
385168,02/02/2000 00:00:00,01/01/2001 00:00:00,376,,
385168,01/02/2001 00:00:00,08/22/2005 00:00:00,183,carolyn,2001-04-25 00:00:00.000000
385168,08/23/2005 00:00:00,12/31/2999 00:00:00,1360,Admin,2005-08-22 00:00:00.000000
385171,11/23/1993 00:00:00,09/12/1996 00:00:00,57,,
385171,09/13/1996 00:00:00,06/19/2014 00:00:00,56,,
385171,06/20/2014 00:00:00,12/31/2999 00:00:00,2779,Admin,2014-09-16 00:00:00.000000
385172,12/29/1993 00:00:00,05/31/1997 00:00:00,59,,
385172,06/01/1997 00:00:00,12/31/2999 00:00:00,58,,
385174,11/16/1993 00:00:00,12/31/1996 00:00:00,57,,
385174,01/01/1997 00:00:00,11/21/2006 00:00:00,60,,
385175,12/01/1993 00:00:00,12/31/1999 00:00:00,4,,
385176,04/30/1994 00:00:00,10/02/1998 00:00:00,61,,
385177,12/29/1993 00:00:00,05/31/1997 00:00:00,63,,
385177,06/01/1997 00:00:00,12/31/2999 00:00:00,62,,
385178,10/30/1992 00:00:00,05/31/1999 00:00:00,64,,
385178,06/01/1999 00:00:00,09/30/2000 00:00:00,8,,
385178,10/01/2000 00:00:00,04/01/2006 00:00:00,483,carolyn,2000-10-02 00:00:00.000000
385178,04/02/2006 00:00:00,06/01/2006 00:00:00,1574,Admin,2006-03-31 00:00:00.000000
385179,11/08/1993 00:00:00,12/31/1998 00:00:00,65,,
385179,01/01/1999 00:00:00,09/19/2003 00:00:00,563,gary,2001-01-29 00:00:00.000000
385180,12/15/1993 00:00:00,01/31/2010 00:00:00,66,,
385180,02/01/2010 00:00:00,12/31/2999 00:00:00,442,Admin,2010-01-27 00:00:00.000000
385181,11/02/1993 00:00:00,03/04/2010 00:00:00,67,,
